City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,isafjordur,66.0755,-23.124,-6.05,66,9,1.67,IS,1712108132
1,fortuna,40.5982,-124.1573,12.18,94,100,4.63,US,1712108133
2,bansi,27.1833,82.9333,26.01,16,76,5.19,IN,1712108134
3,kodinsk,58.6881,99.1844,-2.53,94,85,2.28,RU,1712108134
4,beruniy,41.6911,60.7525,4.98,75,0,0.0,UZ,1712108135
5,udachny,66.4167,112.4,-9.85,84,100,7.23,RU,1712107619
6,rongelap,11.1635,166.8941,26.81,80,100,7.52,MH,1712108136
7,kill devil hills,36.0307,-75.676,20.0,79,0,6.69,US,1712108137
8,blackmans bay,-43.0167,147.3167,13.07,59,100,0.89,AU,1712108138
9,arnprior,45.4334,-76.3494,8.41,51,100,6.74,CA,1712108025
10,albany,42.6001,-73.9662,6.23,93,100,0.45,US,1712108133
11,kuanda,56.3161,116.0806,-6.31,85,51,1.3,RU,1712108140
12,grytviken,-54.2811,-36.5092,3.91,78,19,5.3,GS,1712108140
13,badger,64.8,-147.5333,-9.07,54,75,5.14,US,1712107550
14,ushuaia,-54.8,-68.3,1.81,80,20,2.06,AR,1712108002
15,waitangi,-43.9535,-176.5597,16.01,88,100,4.02,NZ,1712108142
16,usogorsk,63.4106,48.6872,-12.96,97,100,3.27,RU,1712108143
17,port-aux-francais,-49.35,70.2167,6.81,82,99,12.68,TF,1712108144
18,maragogi,-9.0122,-35.2225,27.14,86,95,2.58,BR,1712108144
19,adamstown,-25.066,-130.1015,24.35,70,100,11.68,PN,1712108145
20,praia da vitoria,38.7333,-27.0667,17.09,77,20,10.75,PT,1712107458
21,kapuskasing,49.4169,-82.4331,4.05,38,100,5.14,CA,1712108146
22,bethel,41.3712,-73.414,6.47,86,100,0.89,US,1712107947
23,puerto deseado,-47.7503,-65.8938,10.0,76,100,9.41,AR,1712107882
24,menongue,-14.6585,17.691,16.98,94,100,1.53,AO,1712108149
25,bilibino,68.0546,166.4372,-12.91,61,11,0.61,RU,1712108023
26,holmen,43.9633,-91.2562,1.27,91,100,7.2,US,1712108150
27,la ronge,55.1001,-105.2842,8.14,34,75,5.14,CA,1712108009
28,enewetak,11.3474,162.3373,26.84,80,78,9.36,MH,1712108152
29,pasni,25.2631,63.471,24.99,62,100,3.46,PK,1712108153
30,punta arenas,-53.15,-70.9167,2.06,87,20,3.6,CL,1712107764
31,constantia,44.1833,28.65,8.38,63,67,3.41,RO,1712107523
32,khetri,27.9833,75.8,23.47,18,100,1.41,IN,1712108154
33,egilsstadir,65.2653,-14.3948,-6.05,79,75,2.57,IS,1712108155
34,severo-yeniseyskiy,60.3725,93.0408,-3.57,97,100,1.79,RU,1712108156
